text_features,amount,mcc,hour,category_id
Близенько,-41.98,5499,16,1
АТБ,-45.41,5499,15,1
Pekarnia,-44.9,5462,15,2
Термінал City24,50.0,4829,13,8
АТБ,-41.27,5411,17,1
THRASH,-56.97,5411,17,1
Pekarnia,-24.95,5462,17,2
Близенько,-57.97,5499,17,1
Рукавичка,-36.5,5411,17,1
АТБ,-34.9,5499,16,1
Perlyna Zakhodu,-10.0,5814,17,2
YouTube,-39.0,7399,14,8
Арсен,-163.63,5499,16,1
Близенько,-72.98,5499,14,1
АТБ,-35.4,5499,14,1
Близенько,-103.96,5499,16,1
Близенько,-75.97,5499,15,1
Рукавичка,-37.9,5411,15,1
Pekarnia,-46.9,5462,15,2
Термінал City24,1500.0,4829,15,8
Арсен,-64.5,5499,14,1
Kafe COFFEE LAB,-95.0,5814,11,2
"Київстар
+380981099379,-30.0,4814,10,11",,0,0,0
Близенько,-77.97,5499,14,1
АТБ,-79.1,5411,16,1
АТБ,-74.0,5411,14,1
Аврора,-14.0,5331,17,6
TOR-BA,-198.2,5411,16,1
Від: Oliinyk Olena,365.0,6012,15,9
Приват карта,-416.0,4829,13,8
АРСЕН,-149.1,5499,17,1
TOR-BA,-159.3,5411,17,1
THRASH,-70.47,5411,13,1
АТБ,-44.15,5499,13,1
SimeynaPekarnya,-55.0,5462,18,2
Magazin produktiv,-104.0,5499,16,1
Рукавичка,-116.93,5411,16,1
АТБ,-152.09,5499,15,1
EasyPay,-34.0,4131,13,8
Від: Oliinyk Olena,1940.0,6012,12,9
SAMSUNG ELECTRONIC,-9.53,5734,13,4
SAMSUNG ELECTRONIC,-7.0,5734,13,4
Portmone,-24.0,5999,13,0
Термінал А-Банку,50.0,4829,12,8
Близенько,-37.97,5499,13,1
EasyPay,-17.0,4131,12,8
EasyPay,-17.0,4131,10,8
Близенько,-55.97,5499,14,1
Термінал mono,50.0,4829,13,8
Portmone,-24.0,5999,13,0
АТБ,-141.97,5499,14,1
Термінал City24,20.0,4829,14,8
Близенько,-88.96,5499,18,1
АРСЕН,-44.1,5499,17,1
Близенько,-74.97,5499,13,1
Близенько,-64.97,5499,14,1
Portmone,-24.0,5999,13,0
EasyPay,-17.0,4131,11,8
TOR-BA,-130.5,5411,16,1
Сільпо,-160.97,5411,15,1
АТБ,-208.27,5499,20,1
YouTube,-39.0,7399,14,8
THRASH,-54.58,5411,14,1
АТБ,-52.5,5499,14,1
Є Таке!,-69.0,5200,14,16
Vse vid 2 grn,-239.5,5399,14,16
Термінал City24,50.0,4829,13,8
АРСЕН,-35.9,5499,14,1
Рукавичка,-73.3,5411,13,1
Близенько,-60.98,5499,15,1
THRASH,-22.99,5411,14,1
Рукавичка,-85.74,5411,14,1
Близенько,-172.96,5499,14,1
SimeynaPekarnya,-35.0,5462,14,2
Від: Oliinyk Olena,730.0,6012,13,9
Приват карта,-943.28,4829,13,8
Аврора,-93.0,5331,13,6
Термінал City24,1000.0,4829,13,8
Близенько,-50.57,5499,12,1
АТБ,-205.39,5499,15,1
Аврора,-52.0,5331,15,6
Від: Oliinyk Olena,200.0,6012,13,9
EVA,-34.99,5977,14,13
PROSTOR,-109.3,5977,14,13
Pekarnia,-49.9,5462,14,2
"Ринок ""Шувар"",-78.0,5499,17,1",,0,0,0
Magazin UNI,-245.0,5399,17,16
Magazyn Monako,-55.0,5943,17,5
АРСЕН,-281.09,5499,17,1
АТБ,-169.32,5499,17,1
Сільпо,-99.0,5411,16,1
Vse vid 2 grn,-192.7,5399,16,16
Ашан,-495.8,5411,15,1
EasyPay,-34.0,4131,14,8
Від: Oliinyk Olena,1250.0,6012,14,9
Від: Oliinyk Olena,783.0,6012,14,9
PRTMN  *WATER,-4.0,5999,15,0
Portmone,-4.0,5999,15,0
Portmone,-24.0,5999,14,0
Portmone,-24.0,5999,14,0
АТБ,-78.59,5499,14,1
АРСЕН,-121.48,5499,14,1
Аврора,-49.0,5331,13,6
АТБ,-398.83,5411,13,1
Термінал mono,200.0,4829,13,8
Термінал mono,500.0,4829,13,8
YouTube,-39.0,7399,14,8
TOR-BA,-143.3,5411,15,1
АТБ,-42.58,5411,15,1
Термінал mono,200.0,4829,15,8
IQ Pizza,-270.0,5812,17,2
Аврора,-58.0,5331,17,6
Термінал mono,100.0,4829,17,8
АТБ,-65.45,5499,17,1
Термінал mono,250.0,4829,16,8
McDonald’s,-278.0,5814,15,2
АРСЕН,-77.85,5499,15,1
Apteka Belli,-118.2,5995,14,12
APTEKA 16,-80.8,5912,14,12
Копійка,-56.9,5912,14,12
IQ Pizza,-274.0,5812,14,2
АРСЕН,-108.15,5499,13,1
АТБ,-199.27,5499,15,1
Близенько,-123.98,5499,14,1
APTEKA 47,-441.46,5912,18,12
Apteka Belli,-170.1,5995,14,12
Від: Oliinyk Olena,2000.0,6012,13,9
Рукавичка,-73.8,5411,14,1
THRASH,-61.88,5411,13,1
TOR-BA,-14.9,5411,13,1
Скасування. SAMSUNG ELECTRONIC,7.0,5734,2,4
Близенько,-30.98,5499,14,1
THRASH,-70.87,5411,14,1
Близенько,-35.98,5499,14,1
THRASH,-67.38,5411,14,1
АТБ,-104.51,5499,14,1
Portmone,-24.0,5999,13,0
АТБ,-61.23,5411,17,1
EVA,-29.99,5977,17,13
АРСЕН,-69.9,5499,16,1
Близенько,-69.98,5499,15,1
АРСЕН,-57.4,5499,15,1
Близенько,-109.95,5499,18,1
TOR-BA,-304.9,5411,17,1
Portmone,-24.0,5999,16,0
Від: Matvieieva Anastasiia,1760.0,6012,15,9
Близенько,-144.96,5499,15,1
Рукавичка,-27.5,5411,13,1
АТБ,-55.58,5499,13,1
Vse vid 2 grn,-65.0,5399,13,16
Аврора,-49.0,5310,19,0
THRASH,-51.89,5411,19,1
АТБ,-44.51,5411,19,1
ГУДПС у Львівській області/71040000,-1760.0,4829,15,8
Від: Оксана Котик | Переказ дочці,1800.0,4829,15,8
Близенько,-37.97,5499,14,1
Близенько,-23.98,5499,15,1
Portmone,-24.0,5999,14,0
АТБ,-58.3,5499,11,1
АТБ,-35.9,5411,14,1
АТБ,-62.8,5411,14,1
Portmone,-24.0,5999,13,0
АТБ,-29.08,5499,16,1
АТБ,-70.33,5499,17,1
YouTube,-39.0,7399,14,8
Близенько,-65.98,5499,15,1
Рукавичка,-49.4,5411,14,1
Portmone,-24.0,7399,16,8
Скасування. Portmone,24.0,5999,16,0
Portmone,-24.0,5999,16,0
Рукавичка,-90.7,5411,14,1
АТБ,-152.86,5411,14,1
Рукавичка,-86.8,5411,16,1
Rozetka,-150.0,5399,16,16
Rozetka,-177.0,5399,16,16
Аврора,-39.0,5331,15,6
Аврора,-49.0,5331,15,6
АТБ,-246.32,5499,14,1
Kokhman O. A.,-2450.0,5661,14,7
Від: Оксана Котик | Переказ дочці,5000.0,4829,13,8
АТБ,-112.0,5411,13,1
EasyPay,-34.0,4131,9,8
Термінал mono,100.0,4829,9,8
АТБ,-128.11,5499,16,1
Portmone,-4.0,5999,15,0
Виведення кешбеку 239.57₴,184.47,4829,15,8
АТБ,-118.23,5411,14,1
Дія,-111.54,9399,12,14
АРСЕН,-132.29,5499,14,1
"Київстар
+380981099379,-1.0,4814,14,11",,0,0,0
Київстар,-30.0,4814,19,11
Виплата кешбеку від держави,62.06,4829,5,8
"Київстар
+380981099379,-30.0,4814,13,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,10,11",,0,0,0
"Київстар
+380981099379,-5.0,4814,10,11",,0,0,0
Виплата кешбеку від держави,43.39,4829,1,8
"Київстар
+380981099379,-10.0,4814,13,11",,0,0,0
"Київстар
+380981099379,-20.0,4814,13,11",,0,0,0
Виплата кешбеку від держави,66.16,4829,1,8
"Київстар
+380981099379,-9.45,4814,14,11",,0,0,0
Виплата кешбеку від держави,55.85,4829,4,8
"Київстар
+380981099379,-30.0,4814,10,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,13,11",,0,0,0
"Vodafone
+380669517034,-10.0,4814,13,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,14,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,14,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,3,11",,0,0,0
"Київстар
+380981099379,-5.0,4814,19,11",,0,0,0
"Vodafone
+380669517034,-5.0,4814,14,11",,0,0,0
"Київстар
+380981099379,-17.0,4814,13,11",,0,0,0
"Київстар
+380981099379,-5.0,4814,13,11",,0,0,0
Виплата кешбеку від держави,223.34,4829,3,8
"Київстар
+380981099379,-10.0,4814,15,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,12,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,12,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,9,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,14,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,19,11",,0,0,0
Виплата кешбеку від держави,167.19,4829,6,8
"Vodafone
+380669517034,-12.0,4814,15,11",,0,0,0
McDonald’s,-184.0,5814,14,2
Виплата кешбеку від держави,196.16,4829,7,8
"Київстар
+380981099379,-100.0,4814,12,11",,0,0,0
"Київстар
+380981099379,-30.0,4814,13,11",,0,0,0
Оплата послуг ДІЯ,-150.0,9399,10,14
Сплата Єдиного Податку ФОП,-3200.0,9399,12,14
Військовий збір,-450.0,9399,11,14
Податок на нерухомість,-780.0,71040000,15,14
BOLT,-120.0,4111,18,10
UBER TRIP,-95.0,4111,9,10
Оплата паркування,-50.0,4111,13,10
Rozetka.ua,-1250.0,5722,20,3
Aliexpress,-450.0,5722,22,3
Оплата на Prom.ua,-300.0,5722,14,3
MOYO,-4100.0,5734,16,4
Comfy,-1999.0,5734,17,4
Фокстрот,-850.0,5734,18,4
Цукерня,-180.0,5441,19,15
Львівська майстерня шоколаду,-320.0,5441,17,15
Аптека Подорожник,-250.0,5912,13,12
EVA,-410.0,5977,15,13
Watsons,-150.0,5977,16,13
iHerb,-1100.0,5995,21,12
Червоний маркет,-75.0,5399,14,16
Все від 1 гривні,-99.0,5399,15,16
Popovnennya rahunku Kyivstar,-150.0,4814,9,11
Oplata poslug zv'yazku (Vodafone),-200.0,4814,13,11
Pryvat24. Popovnennya Lifecell,-100.0,4814,20,11
Perekaz na rahunok Vodafone,-250.0,4814,15,11
Oplata proyizdu (metro),-8.0,4111,8,10
Parkuvannya Lvivavtodor,-20.0,4111,12,10
Popovnennya Leokart,-100.0,4111,17,10
Avtostoyanka (oplata),-40.0,4111,10,10
Lviv Croissants,-85.5,5441,14,15
Pekarnya Lvivski Kruasany,-120.0,5441,11,15
Cukor,-210.0,5441,18,15
Kondyterska Veronika,-175.0,5441,16,15
LC WAIKIKI,-1450.0,5651,15,7
INTERTOP,-2899.0,5661,19,7
Reserved,-999.0,5651,16,7
SIN SAY,-750.5,5651,14,7
Cropp,-1150.0,5651,18,7
Answear.ua,-2100.0,5651,21,7
Kasta.ua,-1300.0,5651,12,7
АТБ,-52.12,5499,17,1
АТБ,-1234.86,5499,17,1
АТБ,-1608.35,5499,17,1
АТБ,-69.73,5499,17,1
АТБ,-1522.03,5499,17,1
Рукавичка,-1445.69,5411,14,1
Рукавичка,-167.83,5411,14,1
Рукавичка,-1523.63,5411,14,1
Рукавичка,-592.67,5411,14,1
Рукавичка,-1194.55,5411,14,1
АТБ,-649.21,5499,19,1
АТБ,-1640.51,5499,19,1
АТБ,-952.79,5499,19,1
АТБ,-1458.39,5499,19,1
АТБ,-1918.34,5499,19,1
Скасування. АТБ,-1477.76,5411,19,1
Скасування. АТБ,-1010.19,5411,19,1
Скасування. АТБ,-351.39,5411,19,1
Скасування. АТБ,-1892.5,5411,19,1
Скасування. АТБ,-1080.41,5411,19,1
АТБ,-41.01,5411,19,1
АТБ,-493.08,5411,19,1
АТБ,-1250.14,5411,19,1
АТБ,-858.23,5411,19,1
АТБ,-1473.71,5411,19,1
THRASH,-527.11,5411,18,1
THRASH,-1940.7,5411,18,1
THRASH,-1559.1,5411,18,1
THRASH,-543.53,5411,18,1
THRASH,-1694.28,5411,18,1
545708****0522,-1694.28,4829,17,8
545708****0522,-51.52,4829,17,8
545708****0522,-1411.43,4829,17,8
545708****0522,-1938.53,4829,17,8
545708****0522,-505.68,4829,17,8
Близенько,-962.88,5499,14,1
Близенько,-1193.33,5499,14,1
Близенько,-1677.91,5499,14,1
Близенько,-576.36,5499,14,1
Близенько,-1524.79,5499,14,1
АТБ,-1662.64,5499,13,1
АТБ,-1788.3,5499,13,1
АТБ,-1267.93,5499,13,1
АТБ,-812.36,5499,13,1
АТБ,-379.7,5499,13,1
Близенько,-479.7,5499,18,1
Близенько,-410.15,5499,18,1
Близенько,-282.1,5499,18,1
Близенько,-457.94,5499,18,1
Близенько,-1713.81,5499,18,1
АВРОРА,-1892.91,5331,17,6
АВРОРА,-1106.28,5331,17,6
АВРОРА,-77.35,5331,17,6
АВРОРА,-1274.29,5331,17,6
АВРОРА,-1855.41,5331,17,6
Термінал EasyPay,-1546.12,4829,17,8
Термінал EasyPay,-1134.57,4829,17,8
Термінал EasyPay,-1503.85,4829,17,8
Термінал EasyPay,-1168.41,4829,17,8
Термінал EasyPay,-943.44,4829,17,8
GOLDI,-967.38,5651,16,7
GOLDI,-1704.04,5651,16,7
GOLDI,-824.03,5651,16,7
GOLDI,-841.2,5651,16,7
GOLDI,-950.25,5651,16,7
Арсен,-395.18,5499,17,1
Арсен,-1276.22,5499,17,1
Арсен,-1600.58,5499,17,1
Арсен,-1169.53,5499,17,1
Арсен,-1703.42,5499,17,1
Сільпо,-636.07,5411,14,1
Сільпо,-1251.99,5411,14,1
Сільпо,-1280.7,5411,14,1
Сільпо,-1630.96,5411,14,1
Сільпо,-196.66,5411,14,1
P24 *Oliinyk Olena,-823.86,6012,6,9
P24 *Oliinyk Olena,-1518.46,6012,6,9
P24 *Oliinyk Olena,-869.67,6012,6,9
P24 *Oliinyk Olena,-596.24,6012,6,9
P24 *Oliinyk Olena,-1011.24,6012,6,9
АТБ,-1489.06,5411,18,1
АТБ,-51.12,5411,18,1
АТБ,-1279.31,5411,18,1
АТБ,-1270.5,5411,18,1
АТБ,-546.9,5411,18,1
UNI,-1008.63,5631,18,7
UNI,-1097.0,5631,18,7
UNI,-108.34,5631,18,7
UNI,-680.87,5631,18,7
UNI,-302.62,5631,18,7
Magazyn Monako,-1124.75,5943,17,5
Magazyn Monako,-1640.97,5943,17,5
Magazyn Monako,-517.07,5943,17,5
Magazyn Monako,-1088.86,5943,17,5
Magazyn Monako,-198.93,5943,17,5
АТБ,-804.48,5499,18,1
АТБ,-980.95,5499,18,1
АТБ,-1295.4,5499,18,1
АТБ,-414.16,5499,18,1
АТБ,-64.6,5499,18,1
Roshen,-1164.63,5441,18,15
Roshen,-789.23,5441,18,15
Roshen,-440.91,5441,18,15
Roshen,-405.76,5441,18,15
Roshen,-1219.19,5441,18,15
Rozetka,-867.5,5722,14,3
Rozetka,-1461.59,5722,14,3
Rozetka,-1692.61,5722,14,3
Rozetka,-1705.8,5722,14,3
Rozetka,-762.79,5722,14,3
P24 *Oliinyk Olena,-431.74,6012,14,9
P24 *Oliinyk Olena,-201.78,6012,14,9
P24 *Oliinyk Olena,-1350.02,6012,14,9
P24 *Oliinyk Olena,-1389.02,6012,14,9
P24 *Oliinyk Olena,-1412.31,6012,14,9
Vse vid 2 grn,-562.12,5399,14,16
Vse vid 2 grn,-483.76,5399,14,16
Vse vid 2 grn,-210.71,5399,14,16
Vse vid 2 grn,-1458.28,5399,14,16
Vse vid 2 grn,-1623.98,5399,14,16
Rozetka,-1795.2,5722,13,3
Rozetka,-863.69,5722,13,3
Rozetka,-1370.48,5722,13,3
Rozetka,-1254.43,5722,13,3
Rozetka,-1330.58,5722,13,3
Близенько,-427.73,5499,16,1
Близенько,-604.72,5499,16,1
Близенько,-300.62,5499,16,1
Близенько,-1870.04,5499,16,1
Близенько,-1061.37,5499,16,1
АТБ,-1877.88,5499,16,1
АТБ,-1786.64,5499,16,1
АТБ,-1165.79,5499,16,1
